method	procs	time	query
fixed	20	451.65 seconds	ExAC.r0.3.sites.vep
fixed	19	455.57 seconds	ExAC.r0.3.sites.vep
fixed	18	457.93 seconds	ExAC.r0.3.sites.vep
fixed	17	464.13 seconds	ExAC.r0.3.sites.vep
fixed	16	465.53 seconds	ExAC.r0.3.sites.vep
fixed	15	475.00 seconds	ExAC.r0.3.sites.vep
fixed	14	478.05 seconds	ExAC.r0.3.sites.vep
fixed	13	495.93 seconds	ExAC.r0.3.sites.vep
fixed	12	513.31 seconds	ExAC.r0.3.sites.vep
fixed	11	533.59 seconds	ExAC.r0.3.sites.vep
fixed	10	547.93 seconds	ExAC.r0.3.sites.vep
fixed	9	580.48 seconds	ExAC.r0.3.sites.vep
fixed	8	618.95 seconds	ExAC.r0.3.sites.vep
fixed	7	671.15 seconds	ExAC.r0.3.sites.vep
fixed	6	732.10 seconds	ExAC.r0.3.sites.vep
fixed	5	833.29 seconds	ExAC.r0.3.sites.vep
fixed	4	987.97 seconds	ExAC.r0.3.sites.vep
fixed	3	1274.18 seconds	ExAC.r0.3.sites.vep
fixed	2	1778.18 seconds	ExAC.r0.3.sites.vep
fixed	1	3302.26 seconds	ExAC.r0.3.sites.vep
fixed	20	917.20 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	19	923.83 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	18	944.12 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	17	982.20 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	16	1009.72 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	15	1075.04 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	14	1134.04 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	13	1199.62 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	12	1268.07 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	11	1348.79 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	10	1418.54 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	9	1513.79 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	8	1621.00 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	7	1770.55 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	6	1949.00 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	5	2189.21 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	4	2529.30 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	3	3090.92 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	2	4217.12 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
fixed	1	7546.83 seconds	ALL.wgs.phase3_shapeit2_mvncall_integrated_v5a.20130502.sites
